study_hours,attendance,previous_score,sleep_hours,extra_activities,internet_access,final_score,result
5.2,96.0,62.9,6.8,Yes,Yes,46.5,Pass
1.0,88.2,58.2,6.2,Yes,Yes,30.7,Fail
4.6,73.8,65.0,7.9,No,Yes,57.8,Pass
5.7,73.8,74.0,6.7,No,Yes,52.0,Pass
8.0,74.1,43.3,4.1,No,Yes,61.4,Pass
4.0,100.0,30.6,5.2,Yes,Yes,34.7,Fail
3.4,82.6,56.7,6.3,Yes,Yes,43.6,Pass
4.0,83.2,46.7,6.9,No,Yes,32.5,Fail
6.8,90.4,57.4,6.4,No,Yes,54.7,Pass
5.7,80.9,62.8,8.0,Yes,No,34.4,Fail
3.9,74.9,58.2,4.2,No,Yes,35.2,Fail
6.0,75.6,86.8,6.7,Yes,Yes,45.3,Pass
5.2,77.1,69.9,4.3,Yes,Yes,57.1,Pass
6.9,77.6,69.5,7.4,No,Yes,63.5,Pass
3.6,86.7,74.3,6.4,Yes,Yes,33.9,Fail
4.3,78.6,47.9,7.0,No,Yes,55.3,Pass
4.2,86.8,80.6,5.5,Yes,Yes,79.0,Pass
2.1,77.0,63.9,8.0,Yes,No,38.2,Fail
5.6,78.9,75.1,7.8,Yes,Yes,50.4,Pass
5.5,54.0,48.9,7.2,No,Yes,68.1,Pass
5.0,89.0,41.7,6.3,No,Yes,30.9,Fail
4.5,82.2,77.3,7.2,No,Yes,52.6,Pass
2.2,90.0,70.6,5.7,Yes,Yes,47.8,Pass
4.2,43.2,51.5,7.5,Yes,No,44.8,Pass
4.3,100.0,52.0,8.5,No,Yes,53.6,Pass
3.4,76.3,81.9,7.8,No,Yes,44.7,Pass
4.7,91.3,47.2,5.6,No,Yes,35.2,Fail
5.8,65.5,89.6,6.9,Yes,Yes,54.1,Pass
8.8,85.4,51.5,4.9,No,Yes,46.0,Pass
5.3,65.4,74.6,7.2,No,Yes,50.3,Pass
5.5,70.5,60.1,7.0,Yes,Yes,43.5,Pass
4.9,100.0,74.0,4.3,No,Yes,39.3,Fail
1.2,75.7,56.8,5.1,Yes,Yes,47.2,Pass
4.9,80.6,62.6,6.2,No,No,37.9,Fail
5.1,88.4,65.6,6.1,No,Yes,38.5,Fail
9.9,83.9,50.0,5.0,No,No,52.0,Pass
4.6,79.8,76.1,7.0,No,Yes,52.3,Pass
5.6,82.4,57.3,6.8,Yes,Yes,33.9,Fail
4.9,100.0,61.6,6.3,No,Yes,55.8,Pass
2.7,77.3,50.1,5.6,Yes,Yes,27.6,Fail
7.3,80.4,26.6,7.8,Yes,Yes,64.9,Pass
6.5,90.6,62.1,8.5,No,Yes,62.5,Pass
6.6,91.3,100.0,5.9,No,Yes,62.5,Pass
3.2,92.2,76.8,5.8,No,No,37.0,Fail
7.8,85.7,64.7,7.1,Yes,Yes,60.3,Pass
2.2,64.3,61.1,6.1,No,Yes,41.2,Pass
6.2,97.6,65.3,6.3,No,Yes,56.6,Pass
9.4,64.2,73.2,7.4,Yes,No,56.4,Pass
3.0,81.6,47.3,4.2,Yes,Yes,38.4,Fail
3.9,68.9,81.7,8.1,Yes,Yes,45.5,Pass
5.2,77.2,75.7,6.6,Yes,Yes,50.8,Pass
4.0,81.9,75.8,6.0,No,Yes,28.4,Fail
1.9,81.9,71.6,6.4,No,No,46.8,Pass
5.1,83.1,65.3,6.5,No,Yes,53.2,Pass
2.9,97.4,75.1,4.4,No,Yes,40.2,Pass
5.9,83.4,73.9,8.3,Yes,No,73.0,Pass
3.2,75.1,59.7,6.5,No,Yes,41.7,Pass
8.1,89.6,56.4,7.0,No,Yes,48.3,Pass
3.4,92.3,66.5,7.6,No,Yes,57.4,Pass
4.4,63.3,88.2,5.3,Yes,Yes,54.8,Pass
6.6,85.2,46.4,7.1,No,Yes,54.1,Pass
2.5,86.4,43.0,6.2,Yes,Yes,33.9,Fail
5.5,74.4,67.5,7.5,Yes,Yes,57.4,Pass
7.6,94.5,65.8,3.9,No,Yes,55.4,Pass
1.8,76.2,67.6,6.4,Yes,Yes,46.7,Pass
5.4,79.5,68.7,5.8,No,No,26.4,Fail
5.5,75.9,61.7,7.0,No,Yes,44.6,Pass
6.6,78.2,87.3,7.1,No,Yes,77.9,Pass
2.5,64.8,41.0,5.7,Yes,Yes,24.0,Fail
2.4,60.7,52.6,5.6,Yes,Yes,27.7,Fail
6.0,97.1,63.5,6.4,Yes,Yes,53.2,Pass
5.6,67.8,40.4,5.4,No,Yes,27.1,Fail
5.5,66.1,62.4,7.5,Yes,Yes,27.2,Fail
5.7,52.2,89.9,6.1,Yes,Yes,50.9,Pass
3.6,70.3,65.3,3.0,Yes,Yes,42.3,Pass
5.5,62.1,68.5,6.1,Yes,Yes,48.1,Pass
5.6,97.7,46.1,5.3,No,Yes,46.9,Pass
3.6,90.1,55.8,4.5,No,No,38.0,Fail
8.7,69.7,59.4,5.0,Yes,Yes,66.6,Pass
5.9,100.0,60.2,6.6,No,Yes,53.5,Pass
2.6,89.8,84.2,8.1,No,Yes,45.9,Pass
6.3,74.1,73.4,6.9,No,No,46.5,Pass
3.1,48.0,48.3,5.8,No,Yes,35.4,Fail
6.6,100.0,68.7,7.0,No,Yes,74.5,Pass
7.3,61.3,72.5,5.9,No,Yes,46.6,Pass
3.4,58.3,82.1,5.7,Yes,No,41.1,Pass
6.9,90.3,88.7,5.1,No,Yes,66.4,Pass
5.8,100.0,49.8,4.4,No,Yes,39.8,Fail
6.6,94.6,52.8,6.0,Yes,No,50.5,Pass
8.8,84.8,46.1,6.7,Yes,No,38.5,Fail
4.5,85.1,61.5,6.4,No,No,24.9,Fail
3.5,88.2,72.0,6.0,No,Yes,51.8,Pass
3.2,87.1,79.8,5.4,No,Yes,44.9,Pass
3.4,81.4,63.9,7.2,No,Yes,46.9,Pass
4.8,79.3,60.2,4.9,No,Yes,45.0,Pass
5.7,77.2,67.3,7.4,No,Yes,42.2,Pass
5.6,69.0,52.5,5.3,No,Yes,42.6,Pass
6.7,74.6,96.3,5.6,No,Yes,48.9,Pass
5.0,57.7,40.9,4.7,No,Yes,48.3,Pass
7.9,76.8,67.8,5.9,No,Yes,43.6,Pass
4.5,66.1,95.4,7.7,Yes,Yes,54.4,Pass
10.4,64.8,65.1,7.1,No,Yes,51.6,Pass
6.3,80.2,62.1,7.7,No,Yes,59.0,Pass
3.3,94.7,59.6,7.1,Yes,Yes,45.2,Pass
2.9,89.0,62.3,5.2,No,Yes,37.7,Fail
6.0,59.2,85.6,6.1,No,Yes,61.1,Pass
4.6,66.1,31.8,5.6,Yes,Yes,35.8,Fail
6.4,89.3,88.0,8.1,No,Yes,69.2,Pass
5.9,66.2,43.6,5.1,No,No,25.6,Fail
4.9,75.3,61.0,7.6,No,Yes,33.4,Fail
3.3,84.6,58.6,7.6,Yes,Yes,47.3,Pass
2.0,66.4,73.8,8.7,No,No,33.3,Fail
4.1,79.3,41.0,6.0,No,Yes,44.7,Pass
6.7,62.0,71.9,7.4,Yes,No,48.8,Pass
5.4,70.8,95.4,9.2,No,No,56.8,Pass
2.5,81.8,44.6,5.8,No,Yes,18.9,Fail
5.3,58.9,67.8,4.7,Yes,No,59.5,Pass
5.8,83.3,55.1,4.2,No,Yes,45.3,Pass
3.2,77.8,71.4,7.4,No,Yes,52.8,Pass
5.3,84.6,65.3,4.2,Yes,Yes,42.5,Pass
5.1,80.7,55.4,6.1,Yes,Yes,51.3,Pass
2.7,94.4,72.3,7.0,Yes,No,32.4,Fail
5.7,79.5,92.1,6.7,Yes,Yes,65.8,Pass
6.1,72.8,62.1,7.0,No,Yes,46.6,Pass
7.2,79.5,75.8,6.8,No,Yes,59.3,Pass
7.1,84.5,45.6,8.0,Yes,Yes,61.1,Pass
2.2,78.6,50.7,5.4,Yes,Yes,24.5,Fail
3.1,78.5,72.1,5.7,Yes,Yes,39.4,Fail
6.0,69.6,87.3,5.6,No,No,54.8,Pass
6.0,70.0,70.3,7.5,Yes,Yes,75.1,Pass
6.0,61.2,60.3,7.6,No,No,40.6,Pass
12.0,99.0,65.0,7.0,No,Yes,81.2,Pass
6.1,63.1,46.2,7.9,Yes,Yes,44.8,Pass
7.3,69.7,74.1,5.1,No,Yes,74.1,Pass
6.9,69.4,78.2,8.5,No,Yes,40.5,Pass
6.3,88.7,58.2,8.3,No,Yes,55.8,Pass
4.4,74.5,57.9,7.4,No,No,23.3,Fail
6.5,93.0,69.0,8.6,Yes,Yes,37.0,Fail
3.5,69.9,58.4,4.5,Yes,No,38.0,Fail
4.5,81.3,64.0,5.9,No,Yes,48.3,Pass
4.0,68.0,96.5,5.6,Yes,Yes,50.7,Pass
5.2,100.0,61.3,7.4,Yes,Yes,55.3,Pass
9.6,63.7,59.6,5.2,Yes,No,83.8,Pass
1.3,81.7,55.3,7.4,Yes,Yes,35.7,Fail
6.4,85.6,76.2,8.1,No,No,59.7,Pass
1.8,83.0,62.3,7.3,Yes,No,30.6,Fail
4.1,75.8,55.3,6.8,No,Yes,45.6,Pass
7.2,76.4,84.8,5.3,No,Yes,57.1,Pass
5.1,78.5,86.3,5.5,No,Yes,50.2,Pass
2.8,76.2,56.0,8.0,Yes,Yes,60.4,Pass
3.6,89.6,37.0,7.4,No,Yes,51.5,Pass
6.4,100.0,80.1,6.5,Yes,Yes,66.1,Pass
3.5,71.3,54.7,6.0,No,Yes,15.7,Fail
5.4,61.6,76.9,4.1,No,Yes,43.2,Pass
5.1,76.9,35.4,5.2,No,Yes,65.4,Pass
3.7,100.0,78.4,8.8,No,Yes,54.1,Pass
9.3,68.4,46.8,5.0,No,Yes,63.1,Pass
6.3,97.7,76.0,6.7,Yes,Yes,77.2,Pass
0.9,98.1,65.2,7.7,No,Yes,44.7,Pass
5.4,71.4,50.7,5.0,No,No,28.8,Fail
3.7,84.8,58.9,6.7,Yes,Yes,22.3,Fail
6.7,97.5,75.3,7.6,No,Yes,69.5,Pass
3.4,73.5,66.6,6.5,No,Yes,34.9,Fail
4.8,75.6,73.8,9.9,No,Yes,55.1,Pass
6.0,71.0,94.6,4.5,No,Yes,44.1,Pass
6.7,65.8,41.5,7.8,No,No,37.1,Fail
2.6,70.2,89.3,6.3,Yes,Yes,48.8,Pass
4.3,63.3,66.6,7.4,No,Yes,46.8,Pass
4.1,78.4,51.5,7.0,Yes,Yes,33.2,Fail
3.7,68.8,45.0,5.6,No,Yes,47.4,Pass
8.5,80.8,62.2,6.8,Yes,Yes,55.2,Pass
5.8,59.3,78.8,4.3,Yes,Yes,33.4,Fail
2.5,82.0,63.1,7.2,No,Yes,41.0,Pass
6.8,88.0,87.7,6.9,No,Yes,64.0,Pass
9.2,54.1,43.2,7.3,Yes,Yes,53.0,Pass
7.1,82.5,64.8,7.8,No,Yes,70.8,Pass
2.0,92.7,46.2,6.9,Yes,No,32.6,Fail
4.0,63.5,70.5,6.7,Yes,Yes,44.5,Pass
7.5,98.1,78.3,5.4,No,Yes,52.9,Pass
3.6,83.0,58.7,5.6,No,Yes,51.0,Pass
5.9,69.5,25.9,7.9,Yes,Yes,42.6,Pass
6.5,77.3,68.0,8.2,Yes,Yes,53.2,Pass
3.1,84.7,71.6,6.2,Yes,Yes,29.1,Fail
4.9,78.9,71.1,6.6,Yes,Yes,66.8,Pass
0.0,84.5,83.5,5.4,No,Yes,27.3,Fail
3.0,67.0,48.9,7.9,No,Yes,30.4,Fail
4.5,80.0,75.2,7.3,Yes,Yes,56.9,Pass
2.5,61.0,82.9,8.8,No,Yes,32.5,Fail
8.3,76.7,38.3,5.4,No,Yes,34.0,Fail
2.1,67.2,69.8,6.0,Yes,Yes,18.8,Fail
4.1,69.2,57.4,6.8,No,Yes,48.8,Pass
5.3,92.8,63.8,7.3,No,Yes,48.1,Pass
7.9,91.1,70.2,6.2,Yes,Yes,93.0,Pass
2.1,85.3,57.7,5.5,Yes,No,25.5,Fail
7.3,64.9,54.9,7.6,No,Yes,41.0,Pass
5.0,74.2,65.5,7.4,No,Yes,42.9,Pass
3.0,92.6,48.7,5.4,Yes,Yes,44.6,Pass
5.9,79.7,48.7,8.1,Yes,No,40.6,Pass
5.4,100.0,75.2,7.9,No,Yes,65.8,Pass
3.8,82.7,47.8,6.7,No,Yes,31.3,Fail
5.1,80.3,75.0,6.6,No,Yes,38.7,Fail
4.2,74.3,71.9,7.2,No,Yes,30.0,Fail
5.2,79.6,39.1,5.5,Yes,Yes,20.5,Fail
6.3,76.2,54.8,6.5,No,Yes,43.7,Pass
8.2,86.5,82.9,3.9,No,No,55.0,Pass
2.5,89.5,50.3,7.6,No,No,29.3,Fail
9.3,68.6,58.0,4.6,Yes,Yes,69.5,Pass
1.1,62.0,71.9,8.3,No,Yes,49.0,Pass
4.7,56.0,76.8,6.1,No,No,36.9,Fail
6.2,84.1,61.2,6.2,No,Yes,34.2,Fail
5.6,64.8,56.0,5.7,No,Yes,37.8,Fail
3.8,52.2,86.3,6.2,Yes,Yes,40.5,Pass
4.6,82.7,91.1,8.2,No,Yes,51.4,Pass
4.0,100.0,79.7,3.5,No,Yes,45.4,Pass
3.8,77.9,66.3,8.0,No,Yes,40.2,Pass
6.7,88.1,52.9,6.9,No,Yes,49.0,Pass
5.7,79.0,52.5,5.1,No,Yes,39.3,Fail
3.6,76.8,72.8,5.2,Yes,Yes,49.1,Pass
6.8,89.0,71.3,8.5,No,Yes,64.1,Pass
5.6,74.5,86.0,5.4,Yes,No,42.5,Pass
6.6,81.2,74.8,5.1,Yes,Yes,70.4,Pass
6.3,81.9,42.5,7.9,Yes,Yes,40.2,Pass
3.3,70.0,80.8,6.9,No,No,25.4,Fail
3.9,89.9,50.0,5.4,No,No,41.4,Pass
6.5,75.9,59.2,6.8,No,Yes,42.9,Pass
6.2,68.9,68.8,5.3,No,Yes,53.0,Pass
5.0,84.4,94.9,7.8,No,Yes,36.3,Fail
5.2,67.2,100.0,7.8,Yes,No,69.1,Pass
7.6,78.3,74.1,7.1,No,No,61.4,Pass
3.8,77.9,62.3,6.9,Yes,No,26.5,Fail
6.1,91.0,73.0,8.6,Yes,Yes,46.8,Pass
4.6,83.7,78.3,6.5,No,Yes,69.4,Pass
4.6,77.7,60.2,5.1,Yes,Yes,39.0,Fail
7.2,87.8,91.9,7.0,Yes,Yes,59.8,Pass
6.7,94.7,68.5,9.0,No,Yes,38.7,Fail
6.6,84.7,72.5,5.3,No,Yes,52.5,Pass
7.6,78.1,75.0,6.1,No,Yes,56.6,Pass
5.0,62.3,71.3,7.0,No,Yes,54.1,Pass
6.4,65.2,77.6,6.4,No,Yes,39.2,Fail
4.4,74.3,55.7,5.3,No,Yes,26.6,Fail
5.6,70.7,56.6,7.8,Yes,Yes,53.8,Pass
4.7,75.8,48.5,9.3,No,Yes,55.0,Pass
5.2,78.7,71.6,6.7,No,Yes,35.7,Fail
6.2,84.4,76.7,5.4,No,Yes,66.9,Pass
3.4,77.2,71.9,4.6,No,No,39.0,Fail
9.2,83.8,90.1,6.8,Yes,Yes,83.3,Pass
3.0,78.8,64.9,7.8,Yes,Yes,45.3,Pass
2.6,54.3,75.0,7.1,No,Yes,13.8,Fail
7.3,66.7,48.6,6.5,Yes,Yes,48.1,Pass
6.6,76.3,59.2,5.8,No,No,56.0,Pass
6.2,63.5,75.4,5.2,Yes,Yes,43.4,Pass
6.3,85.2,77.7,7.5,No,No,50.1,Pass
5.0,96.4,60.6,7.6,No,Yes,51.1,Pass
3.2,92.6,63.9,4.6,Yes,No,12.5,Fail
5.2,75.4,42.2,8.4,Yes,Yes,62.2,Pass
3.6,95.9,59.6,7.2,No,No,33.8,Fail
7.0,79.8,78.4,8.2,No,Yes,65.7,Pass
4.7,74.0,73.6,4.9,No,Yes,46.7,Pass
3.3,70.6,72.5,4.9,Yes,Yes,56.8,Pass
4.4,74.4,65.7,6.3,No,No,44.9,Pass
5.8,73.3,65.1,7.1,No,Yes,48.0,Pass
3.9,80.0,55.1,8.7,Yes,Yes,38.0,Fail
3.4,79.9,75.5,7.3,No,No,51.1,Pass
5.5,78.0,71.3,6.2,Yes,Yes,34.9,Fail
5.5,83.2,72.4,5.3,Yes,Yes,60.8,Pass
4.0,92.3,57.1,8.0,Yes,Yes,39.2,Fail
4.1,89.4,32.7,5.3,Yes,Yes,52.3,Pass
5.5,60.2,81.5,8.5,Yes,No,51.1,Pass
2.1,47.4,57.8,6.2,No,Yes,36.1,Fail
2.2,89.2,52.1,8.4,Yes,Yes,43.7,Pass
3.6,61.6,75.4,7.3,Yes,No,23.6,Fail
4.6,75.3,59.1,6.3,Yes,Yes,38.0,Fail
5.6,64.0,80.9,5.9,No,Yes,57.7,Pass
8.0,56.4,74.3,6.1,No,Yes,56.2,Pass
6.7,84.5,75.3,7.0,No,Yes,70.6,Pass
4.7,87.1,44.5,6.6,No,Yes,47.9,Pass
5.0,71.1,83.2,5.8,No,No,36.9,Fail
3.0,46.9,68.9,6.3,Yes,Yes,29.7,Fail
5.0,71.4,59.5,6.6,No,Yes,46.3,Pass
4.4,82.7,67.2,3.9,No,Yes,22.8,Fail
5.6,60.3,38.4,7.0,No,Yes,55.1,Pass
3.3,80.2,71.1,5.3,Yes,No,46.0,Pass
6.0,77.8,49.6,5.1,No,No,52.7,Pass
8.1,85.0,44.7,4.5,Yes,Yes,37.7,Fail
4.8,79.4,42.2,4.3,No,Yes,51.7,Pass
5.8,66.3,81.7,4.9,No,Yes,73.7,Pass
6.4,92.4,55.6,5.6,Yes,Yes,41.4,Pass
4.2,76.1,88.0,8.8,No,Yes,62.5,Pass
5.4,77.7,57.0,5.9,Yes,Yes,48.6,Pass
5.0,66.8,39.4,6.7,No,Yes,22.8,Fail
5.2,72.7,48.3,7.0,No,Yes,48.2,Pass
3.5,67.4,83.5,6.7,Yes,Yes,57.4,Pass
5.0,75.9,62.7,6.4,Yes,Yes,43.2,Pass
6.0,98.5,56.8,5.1,No,Yes,64.4,Pass
7.9,61.5,67.4,8.2,Yes,Yes,40.8,Pass
6.9,58.6,72.5,8.7,Yes,Yes,40.9,Pass
9.3,95.7,81.8,4.5,Yes,No,67.2,Pass
3.5,75.5,86.7,5.3,No,Yes,48.9,Pass
6.7,70.0,59.6,6.2,No,Yes,42.5,Pass
5.4,90.5,45.1,5.3,Yes,Yes,55.8,Pass
9.4,70.7,58.8,7.1,Yes,No,60.9,Pass
3.4,99.9,68.9,5.6,Yes,No,55.0,Pass
3.3,86.1,50.5,9.1,Yes,Yes,44.4,Pass
3.8,72.1,50.6,7.9,No,Yes,46.5,Pass
0.8,100.0,70.2,6.8,No,No,33.8,Fail
3.9,70.7,64.3,7.7,Yes,Yes,66.9,Pass
3.5,86.9,65.5,7.8,Yes,Yes,41.5,Pass
5.3,81.6,53.6,5.8,Yes,Yes,69.2,Pass
5.7,93.6,61.5,5.5,No,Yes,52.8,Pass
8.8,96.7,51.1,6.6,No,Yes,46.7,Pass
6.9,78.4,78.4,7.5,No,Yes,73.0,Pass
3.8,69.0,80.5,6.7,Yes,Yes,50.8,Pass
3.2,83.5,37.3,4.6,Yes,No,39.8,Fail
6.0,69.9,51.1,5.5,Yes,Yes,58.5,Pass
2.4,100.0,42.6,6.4,Yes,No,39.8,Fail
8.7,79.6,55.2,6.4,No,Yes,51.0,Pass
7.4,73.6,63.7,8.9,No,Yes,66.4,Pass
4.1,80.2,43.3,4.8,No,Yes,38.1,Fail
1.6,61.8,51.2,7.1,No,No,32.6,Fail
7.7,66.3,49.9,8.3,Yes,Yes,31.4,Fail
4.8,92.4,68.1,9.2,No,Yes,59.6,Pass
7.5,70.1,66.0,6.0,Yes,No,44.4,Pass
1.8,65.4,54.2,7.1,Yes,Yes,51.6,Pass
3.8,84.4,67.7,7.2,No,No,49.2,Pass
5.0,92.2,56.8,6.7,Yes,Yes,54.2,Pass
5.1,86.6,60.9,6.4,No,No,49.5,Pass
4.1,90.0,90.1,7.0,Yes,Yes,48.8,Pass
6.2,68.9,85.1,3.5,No,Yes,69.1,Pass
2.9,60.9,45.5,7.3,No,Yes,52.8,Pass
4.7,96.0,77.4,6.7,Yes,Yes,61.9,Pass
5.2,74.1,77.2,6.2,No,Yes,67.4,Pass
6.0,75.0,47.8,9.0,Yes,Yes,44.4,Pass
6.4,93.9,77.3,5.7,No,Yes,51.6,Pass
2.8,84.7,88.1,6.0,No,Yes,50.4,Pass
1.9,83.5,48.2,8.9,No,Yes,42.3,Pass
7.6,100.0,51.2,5.5,No,Yes,52.7,Pass
5.7,70.3,80.3,5.8,Yes,No,54.9,Pass
3.5,89.1,69.1,6.3,No,Yes,50.9,Pass
8.1,78.7,73.3,7.5,No,Yes,51.5,Pass
5.2,81.2,70.1,6.7,No,Yes,56.8,Pass
7.4,96.3,70.9,4.9,Yes,Yes,71.1,Pass
5.1,84.1,45.1,5.9,No,Yes,45.5,Pass
9.1,84.5,80.7,5.8,No,Yes,78.0,Pass
8.5,90.9,82.5,6.4,Yes,Yes,57.2,Pass
4.5,73.6,61.6,7.0,No,No,45.1,Pass
6.9,67.9,64.3,7.0,Yes,Yes,42.3,Pass
6.3,65.5,42.0,4.4,No,Yes,29.1,Fail
7.7,54.4,72.7,7.8,No,Yes,48.0,Pass
3.1,100.0,73.6,6.8,No,Yes,41.8,Pass
6.4,64.8,64.1,8.2,No,Yes,45.4,Pass
7.1,75.3,81.9,7.0,No,Yes,57.6,Pass
1.5,74.7,60.0,7.8,Yes,Yes,47.3,Pass
2.6,81.7,73.5,7.1,Yes,Yes,44.2,Pass
0.9,87.8,49.7,8.1,No,Yes,19.8,Fail
4.5,88.3,64.6,7.1,Yes,Yes,63.5,Pass
6.4,71.0,62.4,6.4,Yes,No,38.7,Fail
8.0,76.0,68.4,9.2,No,Yes,60.1,Pass
5.1,81.4,59.5,7.6,Yes,No,50.6,Pass
8.3,75.0,63.0,7.2,Yes,No,56.7,Pass
2.2,97.3,77.4,5.0,No,Yes,58.1,Pass
1.6,83.9,58.4,5.0,Yes,Yes,43.1,Pass
4.9,86.8,40.9,6.9,No,Yes,35.0,Fail
5.8,86.0,91.2,6.7,No,No,77.7,Pass
4.9,92.1,85.7,5.8,No,Yes,59.2,Pass
0.9,80.2,45.6,6.7,Yes,Yes,31.7,Fail
4.8,62.4,75.3,8.4,No,Yes,58.6,Pass
2.4,82.8,57.5,7.3,No,No,37.9,Fail
6.3,70.2,69.0,5.1,No,Yes,54.2,Pass
5.7,71.7,69.4,6.4,Yes,No,72.2,Pass
3.1,85.0,61.5,5.5,No,Yes,39.7,Fail
4.0,92.9,53.2,6.0,No,Yes,42.0,Pass
2.9,78.3,54.6,6.0,No,Yes,39.8,Fail
4.9,81.7,51.3,5.9,No,Yes,55.1,Pass
6.9,98.4,52.5,5.0,No,Yes,39.0,Fail
3.0,80.9,64.0,6.3,No,Yes,23.1,Fail
6.0,100.0,54.3,5.8,Yes,No,44.2,Pass
3.9,84.8,75.2,3.0,No,Yes,30.1,Fail
3.4,56.9,87.3,9.0,Yes,No,40.4,Pass
4.8,87.0,56.3,7.8,No,Yes,53.9,Pass
